Symbol,Name,Revenue TTM,Revenue Growth TTM,Gross Profit TTM,Operating Income TTM,Net Income TTM,EBITDA TTM,EPS dil TTM,EPS dil growth TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,
AAMRANET,aamra networks ltd,,,,,,,,
AAMRATECH,Aamra Technologies Limited,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,
ABBANK,AB Bank PLC,-10319507.9999996,-100.06529710112675,,-44462547761.0,-44591990026.0,,-49.7845,-105.34432693735462
ACFL,Aman Cotton Fibrous PLC,1793591723.0,-26.105723343226746,78200190.99999991,49606954.0,22750605.0,93965450.0,0.2256,
ACI,Advanced Chemical Industries PLC,149650129563.0,16.8502491680757,37923116102.0,11250992609.0,115667766.0,13305826410.0,1.3173,
ACIFORMULA,ACI Formulations PLC,5577380309.0,11.38519642755575,1675813997.0,652526470.0,352591222.0,703400310.0,7.4633,-18.3428521411847
ACMELAB,ACME Laboratories Ltd.,40045290903.0,15.250334153807179,16505102005.0,6706637320.0,2665833155.0,,12.5983,10.925916142779156
ACMEPL,ACME Pesticides Ltd,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,,,,,,,,
ADNTEL,ADN Telecom Ltd.,2050261920.9999998,13.326315218184185,637185035.0,238030537.0,152548972.0,428359890.0,2.3596,-11.109436805424757
ADVENT,Advent Pharma Ltd.,458305568.0,-4.312006265581224,166307000.0,71792069.0,47050135.0,,0.5052,-3.3480007652573307
AFCAGRO,AFC Agro Biotech Ltd.,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,838762892.0,14.205466515753743,198637121.0,83822779.0,-161595495.0,148930790.0,-1.5311,-48.95417842202547
AGNISYSL,Agni Systems PLC,690787586.0,-9.326289495808172,255821970.0,112374926.0,39401703.0,171143940.0,0.543,-59.31974827689541
AGRANINS,Agrani Insurance PLC,184904634.0,-14.090675869348862,,11707395.0,16925479.0,,0.4792,-78.43093126884817
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,
AIL,Alif Industries Ltd.,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,51148706784.0,-0.2782437968760527,,1053664667.0,967411378.0,,0.84,62.91698991466254
ALIF,Alif Manufacturing Company Ltd.,,,,,,,,
ALLTEX,Alltex Industries Limited,650020651.0,89.42247534089134,221785091.0,165207784.0,-707793.0,234753490.0,-0.0127,-236.55913978494624
AMANFEED,Aman Feed PLC,9115769395.0,-18.68123617679352,1054195353.0000001,524064717.0,19207130.0,559802660.0,0.1466,-67.55919451206019
AMBEEPHA,Ambee Pharmaceuticals PLC,157612023.0,-32.99279020859905,72246172.0,4357938.0,5526394.0,,2.3027,-45.17119862850611
AMCLPRAN,Agricultural Marketing Co. Ltd.,3840347591.0,8.079537095948604,729842577.0,283329115.0,38600084.0,310674170.0,4.825,-9.23285300425148
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,657508660.0,15.67791882250008,-91220357.0000001,-158804131.0,-157739566.0,-128180309.99999999,-5.2252,-33.3197254611793
AOL,Associated Oxygen Ltd,,,,,,,,
APEXFOODS,Apex Foods Limited,2832363152.0,36.298008603163865,254060240.0,82596140.0,41830863.0,97560420.0,7.3358,61.65627272526941
APEXFOOT,Apex Footwear Ltd.,19636800994.0,8.85534012220294,5345080546.0,1858720782.0,154791625.0,,7.8762,-15.720201598664572
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,4968980912.0,-7.228627297550752,374771140.000001,145219173.0,26386124.0,200252300.0,3.1412,-15.690589940415482
APEXTANRY,Apex Tannery Limited.,557576160.0,-10.751251829637548,49599048.9999999,13627835.0,-270059804.0,,-17.7205,3.183596311027575
APOLOISPAT,Appollo Ispat Complex Ltd.,,,,,,,,
ARAMIT,Aramit Limited,192153085.0,-29.35690488845421,3508120.9999999697,-60612221.0,694813.0,-45656050.0,0.1158,-96.0225321151336
ARAMITCEM,Aramit Cement Limited,,,,,,,,
ARGONDENIM,Argon Denims Ltd.,5252996313.0,-9.947251079288911,420114728.0,178324209.0,158601926.0,294904550.0,1.1419,-28.524036054081126
ASIAINS,Asia Insurance PLC,528216730.0,-16.579628562645546,,166330185.0,103742828.0,,2.204,5.671956657237382
ASIAPACINS,Asia Pacific General Insurance PLC,587939990.0,51.966430104793794,,150111788.0,111894488.0,,2.6421,53.789289871944135
ASIATICLAB,Asiatic Laboratories Ltd,,,,,,,,
ATLASBANG,Atlas Bangladesh Limited,,,,,,,,
AZIZPIPES,Aziz Pipes Limited.,,,,,,,,
BANGAS,Bangas Limited,,,,,,,,
BANKASIA,Bank Asia PLC,59593296218.0,8.413238928029074,,4693411707.0,4063540484.0,,2.9202,8.380344418052257
BARKAPOWER,Baraka Power Ltd.,1134802488.0,-50.29945169461867,-103692780.0,-203291618.0,208676643.0,-77737590.0,0.8862,290.9131010145567
