Symbol,Name,Revenue TTM,Revenue Growth TTM,Gross Profit TTM,Operating Income TTM,Net Income TTM,EBITDA TTM,EPS dil TTM,EPS dil growth TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,
AAMRANET,aamra networks ltd,942083070.0,-30.0870312993689,464361631.0,151478594.0,74823265.0,306380300.0,0.8047,-78.2982740021575
AAMRATECH,Aamra Technologies Limited,278691541.0,-67.39435189926546,32965966.0,-23035735.0,-89426146.0,56257760.0,-1.382,-535.1385390428211
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,
ABBANK,AB Bank PLC,-9211449521.0,-125.0181583726915,,-49487356111.0,-50228424769.0,,-56.0773,-8695.53954629062
ACFL,Aman Cotton Fibrous PLC,2427240382.0,48.870732619333204,244286477.0,163581171.0,-19097216.0,,-0.1906,65.46475810835297
ACI,Advanced Chemical Industries PLC,133285753225.0,8.59101943043522,32425624138.0,8405129849.999999,-1564338844.0,10236800790.0,-17.827,-54.13946651679565
ACIFORMULA,ACI Formulations PLC,5007290455.0,0.65263894109689,1634422228.0,771321324.0,431855114.0,,9.1398,52.546106984895246
ACMELAB,ACME Laboratories Ltd.,34746355572.0,12.772056071988287,14445458250.0,6235519156.0,2403247727.0,,11.3574,-0.7090090483892056
ACMEPL,ACME Pesticides Ltd,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,,,,,,,,
ADNTEL,ADN Telecom Ltd.,1809166668.0,32.292263056610366,642447652.0,306172243.0,171617821.0,485059650.0,2.6545,-4.383689935883571
ADVENT,Advent Pharma Ltd.,478958279.0,-15.79177811463102,173341016.0,95907133.0,48685984.0,159811710.0,0.5227,-47.313778852938206
AFCAGRO,AFC Agro Biotech Ltd.,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,734433226.0,30.34071446938299,171323264.0,53306515.0,-108488759.0,134386770.0,-1.0279,26.646685220866335
AGNISYSL,Agni Systems PLC,761838886.0,15.796065776097903,224507371.0,134202285.99999999,96849888.0,197763740.0,1.3348,25.2862774544772
AGRANINS,Agrani Insurance PLC,273642170.0,10.73191499624557,,88409475.0,55731071.0,,1.5566,8.648007259021421
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,
AIL,Alif Industries Ltd.,924575513.0,17.848981045510918,154561906.0,140691944.0,131649167.0,148412950.0,2.7053,20.24089959553758
AL-HAJTEX,Alhaj Textile Mills Limited,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,50181219023.0,1.1267819076753123,,4123003581.0,482659042.0,,0.4191,-72.6899517789652
ALIF,Alif Manufacturing Company Ltd.,1356842503.0,,123191791.0,94790673.0,72450188.0,156774290.0,0.2787,
ALLTEX,Alltex Industries Limited,,,,,,,,
AMANFEED,Aman Feed PLC,11209921261.0,11.324907058564266,1249500507.0,512255775.99999994,59182557.0,,0.4519,-18.208144796380086
AMBEEPHA,Ambee Pharmaceuticals PLC,235216514.0,14.606183549829128,120097567.0,14442403.0,10079487.0,23440270.0,4.1998,-5.63307493540052
AMCLPRAN,Agricultural Marketing Co. Ltd.,3553260584.0,8.86163325239674,675344746.0,243141631.0,42526195.0,272999300.0,5.3158,6.335140325258545
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,568395997.0,-18.3497004192205,-37765332.0000001,-83859286.0,-118312832.0,-52448000.0,-3.9193,-273.6277854073451
AOL,Associated Oxygen Ltd,,,,,,,,
APEXFOODS,Apex Foods Limited,2284434152.0,4.420896775021936,222451240.0,67328140.0,38322863.0,83352420.0,6.7207,19.933258382854184
APEXFOOT,Apex Footwear Ltd.,18039354773.0,16.077010855526314,4878903012.0,1407001293.0,183664351.0,,9.3453,22.873934995266644
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,5356157581.0,-1.9341278751244335,362234372.0,138137561.0,31296308.0,193133360.0,3.7258,-0.48079491425823484
APEXTANRY,Apex Tannery Limited.,624743956.0,-28.394454824856048,-1311761.0000000498,-43567874.0,-278941005.0,,-18.3032,-249.35104596121542
APOLOISPAT,Appollo Ispat Complex Ltd.,,,,,,,,
ARAMIT,Aramit Limited,,,,,,,,
ARAMITCEM,Aramit Cement Limited,73007816.0,-51.798509126401036,-220424917.0,-380965113.0,-280961920.0,,-8.2929,52.9360687835192
ARGONDENIM,Argon Denims Ltd.,5833243711.0,6.437454120095746,483487577.000001,237985157.0,221892075.0,366817350.0,1.5976,97.6493876036125
ASIAINS,Asia Insurance PLC,514984235.0,-8.171816924167995,,144009483.0,95243498.0,,2.0235,109.27707105181508
ASIAPACINS,Asia Pacific General Insurance PLC,425347173.0,-1.2201901523164833,,87063051.0,64308530.00000001,,1.5185,-29.058631160943705
ASIATICLAB,Asiatic Laboratories Ltd,,,,,,,,
ATLASBANG,Atlas Bangladesh Limited,,,,,,,,
AZIZPIPES,Aziz Pipes Limited.,,,,,,,,
BANGAS,Bangas Limited,,,,,,,,
BANKASIA,Bank Asia PLC,58452781694.0,22.707816113109207,,6893330098.0,4325125904.0,,3.3724,505.56652899982055
