Symbol,Name,Div per share Annual,Div per share Quarterly,Dividend trailing percent T12M,Dividend yield percent,DPS Growth,Cont Div Payout,Cont Div Growth
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,
AAMRANET,aamra networks ltd,,,0.0,,,3.0,2.0
AAMRATECH,Aamra Technologies Limited,,,0.0,,,4.0,0.0
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,
ABBANK,AB Bank PLC,0.0,0.0,0.0,0.0,,0.0,0.0
ACFL,Aman Cotton Fibrous PLC,1.0,,4.20168067226891,0.0,0.0,8.0,0.0
ACI,Advanced Chemical Industries PLC,2.5,,1.23639960435213,0.0,43.75003593750898,10.0,1.0
ACIFORMULA,ACI Formulations PLC,2.5,,1.621271076524,0.0,25.0,10.0,1.0
ACMELAB,ACME Laboratories Ltd.,3.5,,4.15183867141163,0.0,0.0,10.0,0.0
ACMEPL,ACME Pesticides Ltd,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,,,0.0,,,0.0,0.0
ADNTEL,ADN Telecom Ltd.,1.0,,1.43472022955524,0.0,0.0,4.0,0.0
ADVENT,Advent Pharma Ltd.,,,0.318471337579618,0.0,,7.0,0.0
AFCAGRO,AFC Agro Biotech Ltd.,,,0.0,,,0.0,0.0
AFTABAUTO,Aftab Automobiles Ltd.,1.0,,3.27868852459016,0.0,0.0,13.0,0.0
AGNISYSL,Agni Systems PLC,0.25,,0.809061488673139,0.0,-47.916666666666664,10.0,0.0
AGRANINS,Agrani Insurance PLC,0.0,0.0,2.12014134275618,0.0,-100.0,0.0,0.0
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,
AIL,Alif Industries Ltd.,,,0.0,,,4.0,0.0
AL-HAJTEX,Alhaj Textile Mills Limited,,,0.490196078431373,,,1.0,0.0
ALARABANK,Al-Arafah Islami Bank PLC,0.0,0.0,0.0,0.0,,0.0,0.0
ALIF,Alif Manufacturing Company Ltd.,,,0.0,,,2.0,0.0
ALLTEX,Alltex Industries Limited,0.0,0.0,0.0,0.0,,0.0,0.0
AMANFEED,Aman Feed PLC,1.15,,3.41246290801187,0.0,14.999999999999991,11.0,1.0
AMBEEPHA,Ambee Pharmaceuticals PLC,1.0,,0.130872922392357,0.0,0.0,4.0,0.0
AMCLPRAN,Agricultural Marketing Co. Ltd.,3.2,,1.40907089387935,0.0,0.0,9.0,0.0
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
AOL,Associated Oxygen Ltd,,,0.0,,,0.0,0.0
APEXFOODS,Apex Foods Limited,2.0,,0.714540907466953,0.0,0.0,17.0,0.0
APEXFOOT,Apex Footwear Ltd.,2.0,,0.953288846520496,0.0,-21.428566938775255,9.0,0.0
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,2.0,,0.52534804307854,0.0,0.0,9.0,0.0
APEXTANRY,Apex Tannery Limited.,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
APOLOISPAT,Appollo Ispat Complex Ltd.,,,0.0,,,0.0,0.0
ARAMIT,Aramit Limited,1.0,,0.499750124937531,,-50.0,10.0,0.0
ARAMITCEM,Aramit Cement Limited,,,0.0,,,0.0,0.0
ARGONDENIM,Argon Denims Ltd.,1.0,,4.85436893203884,0.0,0.0,10.0,0.0
ASIAINS,Asia Insurance PLC,1.0,,2.29357798165138,0.0,0.0,8.0,0.0
ASIAPACINS,Asia Pacific General Insurance PLC,1.4,,2.96610169491525,0.0,39.99999999999999,10.0,1.0
ASIATICLAB,Asiatic Laboratories Ltd,,,,,,,
ATLASBANG,Atlas Bangladesh Limited,0.0,0.0,0.0,,,0.0,0.0
AZIZPIPES,Aziz Pipes Limited.,,,,,,,
BANGAS,Bangas Limited,0.3,,0.218978102189781,,-25.000000000000007,4.0,0.0
BANKASIA,Bank Asia PLC,0.78341,,4.25766304347826,0.0,-6.500027573499781,8.0,0.0
BARKAPOWER,Baraka Power Ltd.,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,24.8,,2.81115393334845,0.0,-44.26966292134831,18.0,0.0
BATBC,British American Tobacco Bangladesh Co Ltd,3.0,,1.36487716105551,0.0,-90.0,18.0,0.0
BAYLEASING,Bay Leasing and Investment Ltd.,,0.0,0.0,,,0.0,0.0
BBS,Bangladesh Building Systems PLC,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
BBSCABLES,BBS Cables PLC,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
BDAUTOCA,Bangladesh Autocars Limited,,,,,,,
BDCOM,BDCOM Online Ltd.,0.5,,1.4792899408284,0.0,10.250106777228417,11.0,1.0
BDFINANCE,Bangladesh Finance PLC,0.0,,0.0,,,0.0,0.0
BDLAMPS,Bangladesh Lamps PLC,1.0,,0.561797752808989,0.0,110.00021000021,9.0,1.0
BDTHAI,Bangladesh Thai Aluminium Ltd.,0.0,0.0,0.0,0.0,-100.0,0.0,0.0
