Symbol,Name,Revenue per share TTM,EPS basic TTM,EPS dil TTM,Operating cash flow per share TTM,FCF per share TTM,EBIT per share TTM,EBITDA per share TTM,Book per share FQ,Total debt per share FQ,Cash per share FQ
GP,Grameenphone Ltd.,116.486312254537,22.1106,22.1106,43.946903675604,32.1077814512544,41.81153527375118,68.29116825712383,46.3895,47.22513142342228,10.272277104354519
SQURPHARMA,Square Pharmaceuticals PLC,94.2259841296814,29.1755,29.1755,32.1303185880515,22.742909864810237,24.44564974887896,26.939582256215154,165.62288,0.40163274561557555,68.61058191472983
ROBI,Robi Axiata PLc,19.4394178008768,1.9931,1.9931,7.80504733451153,4.434285050992443,3.797465908785011,10.040491354127669,13.78001,10.081320055067524,0.20462461050952732
BRACBANK,BRAC Bank PLC,39.56357360637929,8.6995,8.6995,-69.3655374507294,-73.9548910887475,,,48.80413,66.69675217949138,64.47797098529908
WALTONHIL,Walton Hi-Tech Industries PLC,211.061639938929,30.1664,30.1664,68.5016013312983,56.3682311823777,36.53410527386739,46.3023682315365,366.80128,76.06289861043255,7.7182163455355655
BATBC,British American Tobacco Bangladesh Co Ltd,146.500066666667,8.8064,8.8064,1.04207962962963,-11.821442592592591,35.432737037037036,50.29491111111111,103.37681,44.08578333333333,28.091727777777777
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,,,,,
MARICO,Marico Bangladesh Limited.,657.513834222222,206.0885,206.0885,177.319570476191,170.02057682539683,230.19740984126986,238.5267761904762,92.02266,4.738170285714285,49.998198634920634
UPGDCL,United Power Generation & Distribution Co. Ltd.,56.0732102661455,16.0229,16.0229,11.6175717735285,11.229915020696993,19.54709107769673,25.495047147788522,82.07573,12.478678016468894,2.1114037880626486
BERGERPBL,Berger Paints Bangladesh Ltd.,607.178805638467,70.5858,70.5858,86.7723571990005,35.37524698878977,85.61270398047888,106.50808128884992,356.33396,22.595661544494853,119.15575083754129
LHB,LafargeHolcim Bangladesh PLC,24.8301666818785,4.1671,4.1671,6.30649558195723,2.7438542622789903,5.150343472473122,6.457743155951484,17.32749,0.0802936866160255,3.478167239838329
