Symbol,Name,Operating CF TTM,Investing CF TTM,Financing CF TTM,FCF TTM,CAPEX TTM
GP,Grameenphone Ltd.,62722625000.0,-15974061000.0,-43474751000.0,46601019000.0,16121606000.0
SQURPHARMA,Square Pharmaceuticals PLC,27635316674.0,-15501195705.0,-10333414944.0,21038106610.0,6597210063.0
ROBI,Robi Axiata PLc,46270344000.0,-19695568000.0,-27491062000.0,26390177000.0,19880167000.0
BRACBANK,BRAC Bank PLC,40989935451.0,-228626637264.0,207067498890.0,34367385030.0,6622550420.0
BATBC,British American Tobacco Bangladesh Co Ltd,-8532623000.0,-5039031000.0,3682502000.0,-13590909000.0,5058286000.0
WALTONHIL,Walton Hi-Tech Industries PLC,17310284349.0,-4199894980.0,-20074152747.0,12644688990.0,4665595355.0
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,
MARICO,Marico Bangladesh Limited.,5281617649.0,6088912086.0,-11881948226.0,5086922900.0,203493432.0
ISLAMIBANK,Islami Bank Bangladesh PLC,149373411657.0,-290942134611.0,243832446099.0,145565656470.0,3807755185.0
UPGDCL,United Power Generation & Distribution Co. Ltd.,11963118890.0,17149748597.000002,-27697841404.0,11712510790.0,250608103.0
BERGERPBL,Berger Paints Bangladesh Ltd.,4142075000.0,-2199788000.0,-1895574000.0,1688636000.0,2453439000.0
LHB,LafargeHolcim Bangladesh PLC,6502189000.0,-1735747000.0,-5103807000.0,4776007000.0,1739127000.0
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,
RENATA,Renata PLC,5784457646.0,-4365905498.0,-695154652.0,1725607710.0,4058849934.0
PUBALIBANK,Pubali Bank PLC,52440657390.0,-215339407390.0,175721999248.0,49179334650.0,3261322738.0
CITYBANK,City Bank PLC,15366019045.0,-94486521283.0,147926833777.0,13209750630.0,2156268418.0
EBL,Eastern Bank PLC,15570716435.0,-141119685003.0,129868961191.0,15273665070.0,297051368.0
UNILEVERCL,Unilever Consumer Care Limited,512232999.99999994,-1603002000.0,-1229659000.0,453496000.0,58737000.0
DUTCHBANGL,Dutch-Bangla Bank PLC,46056478281.0,-127262295554.0,90587725924.0,43500714010.0,2555764268.0
PRIMEBANK,Prime Bank PLC,16297870870.0,-64462703459.0,49426558141.0,14871928670.0,1425942199.0
ICB,Investment Corporation of Bangladesh,28906251696.0,-28243593985.0,-988063848.0,,0.0
POWERGRID,Power Grid Co. of Bangladesh Ltd.,17406702791.0,-120109733615.0,99522617124.0,-90826288520.0,108232991315.0
OLYMPIC,Olympic Industries PLC.,2613046980.0,-1939831830.0,-621551703.0,1524960680.0,1088086300.0
MJLBD,MJL Bangladesh PLC,2714721717.0,-7125344868.0,4178948123.0,-7066266830.0,9780988551.0
BSRMSTEEL,BSRM Steels Limited,5635758133.0,-2405181454.0,-4799195751.0,-7904594970.0,13550532780.0
BSCPLC,Bangladesh Submarine Cables PLC,3367495915.0,-3269306692.0,-146306512.0,3354868130.0,12627782.0
BANKASIA,Bank Asia PLC,16453599742.999998,-63616196282.0,47756861402.0,16257879540.0,195720201.0
BEACONPHAR,Beacon Pharmaceuticals PLC,,,,,
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,7577413210.0,-3424583326.0,-4220286930.0,6158933360.0,1420642738.0
UTTARABANK,Uttara Bank PLC,10428829708.0,-51042470304.0,33890154086.000004,10095351000.0,333478705.0
JAMUNABANK,Jamuna Bank PLC,-35580205375.0,-21969495779.0,64030137256.0,,0.0
MPETROLEUM,Meghna Petroleum Limited,11986687960.0,-5114702256.0,-1840648084.0,11606881940.0,379806022.0
KOHINOOR,Kohinoor Chemical Co. (Bangladesh) Ltd.,,,,,
SHAHJABANK,Shahjalal Islami Bank PLC,25097155969.0,-37586946270.0,28402939414.0,24839961940.0,257194025.0
JAMUNAOIL,Jamuna Oil Company Limited,4834351393.0,-9711647267.0,-1180769956.0,4261411479.9999995,572939915.0
ALARABANK,Al-Arafah Islami Bank PLC,41935184526.0,-46389968540.0,36164470945.0,40816777860.0,1118406662.0
TRUSTBANK,Trust Bank PLC,8951697537.0,-88178121533.0,85940891611.0,9002543560.0,-43948059.0
IDLC,IDLC Finance PLC.,4229656199.0,-26464810829.0,21365409855.0,2845823290.0,1383832907.0
ACI,Advanced Chemical Industries PLC,-2380886694.0,-3927193520.0,6410154316.0,-5291068300.0,2910181604.0
TITASGAS,Titas Gas Transmission and Distribution PLC,6498183075.0,621139569.0,-792686527.0,5947593170.0,550589903.0
BSC,Bangladesh Shipping Corporation,836575135.0,2183953682.0,-4007271861.0,,0.0
PADMAOIL,Padma Oil PLC,1292425000.0,-3872923000.0,-1371324000.0,-260206000.00000003,1552631000.0
ACMELAB,ACME Laboratories Ltd.,4306769364.0,-2613495326.0,-1084106345.0,1689065410.0,2617703958.0
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,556131935.0,-137700030.0,-2492224432.0,418430990.0,137700940.0
UCB,United Commercial Bank PLC,22379248819.0,-58123560251.0,97630232304.0,,0.0
DHAKABANK,Dhaka Bank PLC,-5138740252.0,-48643141587.0,58971397911.0,-5472773830.0,334033574.0
NBL,National Bank PLC,,,,,
MTB,Mutual Trust Bank PLC,-8870054527.0,-34639452271.0,51371425308.0,-9646731900.0,776677375.0
SUMITPOWER,Summit Power Ltd.,7244647543.0,3258975794.0,-14887220616.0,6075774580.0,1168872966.0
NCCBANK,National Credit and Commerce Bank PLC,-10431446625.0,-26588213943.0,41711171322.0,-10785553020.0,354106391.0
BESTHLDNG,Best Holdings PLC,,,,,
SOUTHEASTB,Southeast Bank PLC,14764015757.0,-47347267005.0,31151881135.0,14563010710.0,201005047.0
HEIDELBCEM,Heidelberg Materials Bangladesh PLC,417194000.0,-310820000.0,-1472589000.0,417194000.0,310794000.0
LINDEBD,Linde Bangladesh Limited,,,,,
IFIC,IFIC Bank PLC,-18067839563.0,-17099315029.000002,47392867050.0,-18600084900.0,532245338.99999994
UNIQUEHRL,Unique Hotel & Resorts PLC,,,,,
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,1453340231.0,-185052094.0,-1099240150.0,1267768480.0,188141982.0
NATLIFEINS,National Life Insurance PLC,5709129878.0,-8943920470.0,-1178442.0,5251744620.0,457385257.0
RAKCERAMIC,RAK Ceramics (Baneladesh) Limited,208297343.0,-218556445.0,-111542794.0,-12757660.0,224040945.0
IBNSINA,BN SINA Pharmaceutical Industry PLC,960697549.0,-1869563262.0,958776136.0,-1000519320.0,1961216867.0
SAPORTL,Summit Alliance Port Limited,996507031.0,-676009858.0,-302275076.0,545625420.0,450881609.0
SPCL,Shahjibazar Power Co Ltd,1799406063.0,104568957.0,-894801595.0,1747766820.0,51639240.0
RUPALIBANK,Rupali Bank PLC,26123612716.0,-69598555034.0,43771793868.0,25721269960.0,402342760.0
SQUARETEXT,Square Textiles PLC,154525311.0,-624663155.0,409495150.0,-474747840.0,629273155.0
MERCANBANK,Mercantile Bank PLC,20148872487.0,-40689549345.0,17781986627.0,19897923480.0,250949006.0
DELTALIFE,Delta Life Insurance Company Ltd.,-2195468373.0,3473195654.0,-858296810.0,-2227843380.0,32375006.0
DESCO,Dhaka Electric Supply Co. Ltd.,7923120789.0,-11246797832.0,4072115587.0,4238520370.0,3684600420.0
ONEBANKPLC,One Bank PLC,-793668262.0,-19832344615.0,21049370651.0,-1339596130.0,545927864.0
PTL,Paramount Textile PLC,2507645520.0,-2821063399.0,422574973.0,590325890.0,1917319632.0
SINGERBD,Singer Bangladesh Limited,2174029516.0,-3506101939.0,-2767003183.0,-1316157510.0,3537472753.0
ENVOYTEX,Envoy Textiles Ltd.,2071228829.0000002,-974709866.0,-1170110750.0,1087662590.0,983566238.0
