Symbol,Name,Operating CF TTM,Investing CF TTM,Financing CF TTM,FCF TTM,CAPEX TTM
GP,Grameenphone Ltd.,62722625000.0,-15974061000.0,-43474751000.0,46601019000.0,16121606000.0
SQURPHARMA,Square Pharmaceuticals PLC,26561204174.0,-13224975678.0,-10406776701.0,20573467730.0,5987736448.0
ROBI,Robi Axiata PLc,46270344000.0,-19695568000.0,-27491062000.0,26390177000.0,19880167000.0
BATBC,British American Tobacco Bangladesh Co Ltd,-8532623000.0,-5039031000.0,3682502000.0,-13590909000.0,5058286000.0
BRACBANK,BRAC Bank PLC,40989935451.0,-228626637264.0,207067498890.0,34367385030.0,6622550420.0
WALTONHIL,Walton Hi-Tech Industries PLC,17310284349.0,-4199894980.0,-20074152747.0,12644688990.0,4665595355.0
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,
MARICO,Marico Bangladesh Limited.,7262355697.0,5743443259.0,-10922745262.0,7081384960.0,188684626.0
UPGDCL,United Power Generation & Distribution Co. Ltd.,3848746444.0,-11780430136.0,8338685643.000001,3210836360.0,637910086.0
BERGERPBL,Berger Paints Bangladesh Ltd.,4142075000.0,-2199788000.0,-1895574000.0,1688636000.0,2453439000.0
ISLAMIBANK,Islami Bank Bangladesh PLC,149373411657.0,-290942134611.0,243832446099.0,145565656470.0,3807755185.0
LHB,LafargeHolcim Bangladesh PLC,6502189000.0,-1735747000.0,-5103807000.0,4776007000.0,1739127000.0
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,
RENATA,Renata PLC,6171464646.0,-4638718498.0,375724348.0,1835207710.0,4336256934.0
UNILEVERCL,Unilever Consumer Care Limited,512232999.99999994,-1603002000.0,-1229659000.0,453496000.0,58737000.0
PUBALIBANK,Pubali Bank PLC,52440657390.0,-215339407390.0,175721999248.0,49179334650.0,3261322738.0
DUTCHBANGL,Dutch-Bangla Bank PLC,46056478281.0,-127262295554.0,90587725924.0,43500714010.0,2555764268.0
CITYBANK,City Bank PLC,15366019045.0,-94486521283.0,147926833777.0,13209750630.0,2156268418.0
EBL,Eastern Bank PLC,15570716435.0,-141119685003.0,129868961191.0,15273665070.0,297051368.0
PRIMEBANK,Prime Bank PLC,16297870870.0,-64462703459.0,49426558141.0,14871928670.0,1425942199.0
ICB,Investment Corporation of Bangladesh,28906251696.0,-28243593985.0,-988063848.0,,0.0
MJLBD,MJL Bangladesh PLC,2469997693.0,-4846349332.0,3033530461.0,-2125965800.0,4595963489.0
OLYMPIC,Olympic Industries PLC.,,,,,
